feature	cluster	vt_score
A1BG	3	3.193458812084248
A2ML1	4	2.7566134886962366
AADAC	3	2.9252924062372165
AADACL2	1	2.5051391252265223
AADACL3	1	2.430866519304473
AADACL4	1	3.022529260080098
AATK-AS1	1	4.315187085666206
ABAT	4	2.0972344286376434
ABCA10	1	4.4358804932057305
ABCA4	1	2.2902601932464735
ABCA6	1	2.644942471668139
ABCA7	1	3.9627827604984143
ABCA9	1	3.63361023351615
ABCB1	2	2.8508356487322803
ABCB11	5	3.614816053261417
ABCC11	1	2.5384187271728895
ABCC3	2	3.5364174250521567
ABCC6	5	2.6623906140976885
ABCG1	5	2.966008047695911
ABCG4	1	3.067368244333249
ABCG5	4	2.3463755610790074
ABHD1	1	3.0108142866557484
ABHD16B	1	2.3987030266667877
ABI3	5	2.804953673954473
ABI3BP	5	2.21011559192702
ABO	4	2.7825558211139314
AC002094.3	1	2.233622223138313
AC002310.4	1	2.16263905921597
AC002985.1	3	3.325771115441736
AC004076.1	4	3.1294506839605765
AC004706.4	1	3.0986342926747557
AC004832.3	2	2.529805366173518
AC005041.1	1	2.8727434559986547
AC005258.1	1	2.1642494381258652
AC005697.1	5	2.162637221845399
AC005833.3	3	2.227176830088096
AC005837.2	4	2.581390412729527
AC005943.1	5	2.088959517034439
AC006030.1	1	3.1938698287788863
AC006254.1	1	4.6139203955098536
AC006269.1	1	2.344261908766972
AC006486.1	3	2.000962681245656
AC006538.2	2	2.266143841617335
AC007040.2	1	3.1002447473486314
AC007325.1	1	3.1451055202306244
AC007998.2	3	3.149281268829629
AC008750.8	1	2.1923840736463887
AC008758.1	2	3.1588032999117295
AC008763.2	1	3.1191680600506895
AC008763.3	1	2.7100196622907693
AC008764.4	2	2.961947967497293
AC008770.2	3	3.2884757583807507
AC009086.2	5	3.0313801330599155
AC010319.2	1	2.112398019648009
AC010325.1	3	2.2410930012534283
AC010422.3	3	3.537568292291169
AC010616.1	1	2.6392392774790525
AC011005.1	3	2.0400870731008527
AC011043.1	2	2.1065638390859474
AC011043.2	4	2.496022771674289
AC011195.2	1	2.2608684786467723
AC011346.1	4	2.120706131197474
AC011448.1	1	4.271354817283106
AC012651.1	1	2.010414103393129
AC013271.1	3	2.3941401478938458
AC015688.5	5	2.2186078770402657
AC015813.2	4	2.208660086514025
AC017083.4	3	2.0107523361189434
AC018523.2	5	2.1232346383525766
AC018554.3	1	3.7974674151840717
AC018793.2	1	2.858273702494
AC019117.3	1	2.0389443472985587
AC020915.2	1	2.7906308999384626
AC020934.3	1	3.119061441346935
AC021072.1	1	3.305991517652743
AC022167.5	1	2.0610573590398342
AC022826.2	3	2.414113144653933
AC024940.1	4	2.307474654391336
AC025287.4	1	3.04738070451938
AC026398.1	1	2.219534274815989
AC040162.4	1	2.0988655030652392
AC048338.1	3	3.0374405521231367
AC064853.3	1	3.2978914375062405
AC068234.1	2	2.0260396202854647
AC068580.4	1	4.412408281906989
AC068896.1	1	2.9434348312184544
AC068946.1	1	2.5999132336233974
AC068987.5	5	2.288877737881817
AC069257.3	4	2.168470851412076
AC069503.2	1	3.289071008979229
AC072022.1	1	2.3628957876789505
AC073082.1	5	2.6014637267793357
AC073610.3	3	2.265416992435274
AC073896.1	5	2.4248843178628023
AC074143.1	1	2.442359469957713
AC083902.2	1	2.4674116441440126
AC087632.1	3	4.357037223906214
AC091551.1	2	2.1396025144387347
AC091959.3	3	2.0235963535616883
AC092042.3	4	2.7870602487311578
AC092111.3	3	3.478387988724399
AC092587.1	3	2.0847050715724764
AC092718.8	1	2.6767865892229086
AC092821.1	1	2.310188525554712
AC093668.1	4	2.1231726699811126
AC093899.2	4	2.5134067986698256
AC098484.3	1	2.0498633668447592
AC098650.1	1	2.0487392909973874
AC099489.1	1	3.720821773406105
AC104532.1	5	2.639604197871862
AC108750.1	1	3.2784810267561166
AC108941.2	3	2.330233180096753
AC109583.3	1	3.604640703252574
AC112229.3	3	2.4998587618324275
AC112484.1	1	2.5144931240514903
AC116565.1	1	2.3841085052223505
AC119396.1	5	2.115400632308746
AC129492.3	3	2.225033469097788
AC131097.2	1	2.456478165292281
AC134669.2	5	2.5915539799840794
AC135068.1	1	3.8053853479722908
AC136352.4	2	2.5906559648368694
AC136612.1	5	2.3069735828612266
AC136616.1	1	2.0845974925247495
AC138647.1	1	2.9041687946507633
AC171558.1	1	3.1598760523768123
AC171558.3	1	3.0373528909549226
AC187653.1	1	2.3417601624606568
AC213203.1	1	2.432764251515524
AC233724.16	3	2.5479249903770262
AC233755.2	1	2.6957694675171275
AC243756.1	1	3.2124623024435524
ACAP1	1	2.8229308907173207
ACBD7	4	2.1022575339696723
ACCS	1	2.7579729092299314
ACE	2	2.1518099970205395
ACE2	2	2.278854589801334
ACER2	2	2.3129871502689885
ACHE	2	2.720245685890664
ACKR1	5	2.995938239145662
ACKR2	5	2.2582560672993175
ACKR3	5	2.915867299493643
ACMSD	5	2.7635935970838346
ACOD1	5	2.441365543193544
ACOT11	1	3.9371460717180287
ACOT12	2	2.7786607482977916
ACOXL	1	2.0476141286998217
ACP7	1	3.446576625869273
ACR	1	3.162283763139854
ACRBP	1	2.648012216500793
ACRV1	4	2.5406827882443714
ACSBG2	4	2.019704122882975
ACSL1	5	2.1535293248624967
ACSM1	1	2.643508639085254
ACSM2A	1	2.0840434157041146
ACSM2B	1	3.671179404473591
ACSM4	1	2.1339376989944063
ACSM5	5	2.9333891288398557
ACSS3	2	3.229236670753663
ACTA1	1	3.6950627299886394
ACTA2	3	3.4583936753774323
ACTBL2	3	2.223618662133609
ACTC1	5	2.8857362673974842
ACTG2	3	2.5181213519478653
ACTL7A	1	2.501458473903871
ACTL7B	1	2.7829010776890613
ACTL8	1	2.378213112266969
ACTN3	1	4.015875271896972
ACTR3C	1	2.248284383454795
ACTRT1	1	3.3759453047726096
ACTRT2	1	3.3865913900857625
ACVR1C	1	2.7824179785084615
ACVRL1	2	2.27103280166477
ACY3	4	2.8423133005141583
ADA	3	4.387391162387175
ADAD2	1	3.201375637168743
ADAM12	3	3.912469047102995
ADAM19	3	4.993650770366795
ADAM20	1	3.2449615779935455
ADAM22	1	2.2248363282376236
ADAM28	1	2.800576682690442
ADAM29	5	2.2661004046061746
ADAM8	1	2.748614470751557
ADAMTS1	3	4.1299104788554075
ADAMTS12	3	2.4983587200729906
ADAMTS15	5	3.6106473206717267
ADAMTS16	5	2.833454391689603
ADAMTS19	4	2.823807332145946
ADAMTS2	3	2.5546782450462096
ADAMTS20	5	2.3155486942187404
ADAMTS5	3	3.1426680478415325
ADAMTS7	3	4.78487737093477
ADAMTS9	2	2.6137535384118724
ADAMTSL5	3	2.4022059081150418
ADAP1	1	3.402072829930312
ADAP2	1	2.5850954005835263
ADCY10	1	3.435107847668297
ADCY2	4	3.5855092262253474
ADCY4	1	2.381595093492743
ADCY5	5	2.7781511748677956
ADCY7	5	2.914175371494288
ADCYAP1	1	2.7481944570961367
ADCYAP1R1	5	2.3180421368950586
ADGB	5	2.1752362999370862
ADGRA2	3	3.218619981997566
ADGRE1	5	3.1293574435517666
ADGRE3	5	2.1279141431971627
ADGRE5	3	2.2873925567775686
ADGRF1	1	2.949234229618334
ADGRG1	5	2.9631675176061347
ADGRG3	1	2.4201049655549047
ADGRG6	2	2.8931876990925876
ADGRG7	2	2.549483596561238
ADGRL2	2	2.1236925771789052
ADGRL4	2	5.273229617306903
ADGRV1	1	2.122338082811998
ADH1B	1	2.4148508826151223
ADH6	4	2.0238769052600714
ADH7	5	2.145684210635005
ADM2	3	3.69713644032458
ADM5	1	2.8620492905178723
ADORA1	2	2.157696741403967
ADORA3	5	2.302773378097261
ADRA2A	1	2.1306349660614456
ADRA2C	1	3.254090948614023
ADRB3	1	3.7489301222040314
ADSSL1	2	2.2731356786092913
ADTRP	1	2.8588932854316966
AEBP1	5	2.0966608211278284
AFF3	4	2.5677707727556114
AFM	1	2.3032516847767313
AGAP2	1	2.1900658560703143
AGBL1	1	3.694573864876598
AGBL4	1	2.365444319565151
AGMAT	1	2.3508637146913283
AGT	5	2.6029194153128996
AHCYL1	4	2.49809707717114
AHRR	3	3.1245123905988383
AIF1L	2	2.0709980405650565
AIM2	5	3.0091610884779425
AIPL1	1	3.543397160783779
AJAP1	4	2.2311778707893275
AJUBA	3	5.211153209642333
AK1	5	2.365531304135674
AK4	3	2.69844642637464
AK5	1	3.481431073960209
AK7	1	2.019100109195755
AKAIN1	1	2.7712249208145705
AKAP12	2	2.58758429883166
AKAP5	1	2.0015487831638406
AKNAD1	1	2.272173321058595
AKR1B10	5	2.056439203110451
AKR1B15	1	2.050025349805379
AKR1C4	5	2.407834396689084
AL032819.3	1	2.6490903387663636
AL033529.1	5	2.2350653640573332
AL049650.1	2	2.193740782216344
AL080251.1	5	2.255675681288384
AL096814.1	2	2.898817152209268
AL109810.2	1	4.480239055148453
AL109811.4	3	2.136121567390922
AL117258.1	1	2.339167048510223
AL117339.5	1	2.0813453559354627
AL121722.1	5	2.002687870240026
AL121758.1	1	2.059968467793772
AL121845.3	1	2.933732942297664
AL133352.1	1	2.154519033715996
AL136295.1	3	2.7526639757047575
AL136295.3	4	2.0228335893656
AL136373.1	1	3.9402074016634305
AL138694.1	1	2.1434353791660405
AL139353.1	4	2.5090794158297363
AL159163.1	5	2.3887224865476377
AL160275.1	4	3.048942006015324
AL161669.4	4	2.4589379725930787
AL163636.2	5	2.531189932231154
AL353588.1	1	2.229577957239908
AL354822.1	1	2.5622923337329016
AL359922.1	1	2.148942860393501
AL360181.3	1	2.7893041372284526
AL449266.1	3	2.3084559918139997
AL451007.3	5	2.720946009569303
AL512506.3	1	2.2605145380400993
AL512785.2	5	3.1835871981096315
AL583836.1	1	3.8246040636357397
AL590560.1	4	2.171910254271787
AL645922.1	5	2.4289173636999535
AL662899.2	4	2.8758239188657675
AL669918.1	5	3.3649257080834034
AL691442.1	2	2.61311893819239
AL845331.2	1	2.6491024280556505
