feature	cluster	vt_score
AARD	3	-2.169288430717952
ABCA12	3	-2.194606746241207
ABCA13	4	-3.573091259507867
ABCA5	2	-2.3914156525847856
ABCB5	4	-2.552193381739892
ABCB9	4	-2.775775237420403
ABCC8	3	-4.935198171229721
ABCC9	3	-5.815648229570418
ABCD2	3	-5.651733938887637
ABCG2	3	-5.484011390167871
ABHD12B	3	-5.283057440261761
ABLIM2	3	-5.3867082892838765
ABRA	2	-2.8661672923738175
AC001226.2	3	-3.7686768913965154
AC002310.5	3	-2.2280342565906635
AC004997.1	1	-2.3783061511900683
AC005020.2	1	-2.294802448127852
AC005324.3	2	-3.734744623738551
AC005324.4	2	-2.5761967742384666
AC005551.1	4	-2.689629332016072
AC005670.2	3	-3.16085774882846
AC005779.2	2	-2.5021696049945183
AC005841.2	2	-2.147641357466393
AC005885.1	3	-2.791736080271551
AC007240.1	2	-3.190705203018553
AC008073.3	3	-2.5402689943465693
AC008758.4	3	-2.847757685501578
AC009014.1	2	-2.121519331994811
AC009336.2	2	-2.31814866215848
AC010132.3	3	-2.0427273215922317
AC010323.1	2	-2.1919890605735386
AC010542.3	3	-2.821175465241178
AC011462.1	2	-2.505049677171333
AC012531.3	5	-2.093425940417117
AC018630.6	5	-2.6086533678320176
AC018755.2	3	-2.5120640592914802
AC025283.2	3	-2.0595796300319416
AC027796.3	2	-2.004144018930674
AC037459.1	1	-2.088392090952875
AC067968.1	2	-2.475473330344885
AC068547.1	3	-2.2712289694901937
AC068775.2	3	-4.453826010427671
AC069368.1	3	-2.00496100980749
AC073111.3	3	-2.834612497841078
AC073111.5	3	-2.8499356396846953
AC073612.1	2	-2.114289213609057
AC078927.1	3	-2.205641838320977
AC079447.1	3	-2.5799129098477285
AC091980.2	3	-2.5090777020269086
AC092073.1	3	-2.008678623725729
AC092143.1	4	-2.4876231520551597
AC092718.3	3	-2.0523313321777388
AC097372.1	3	-3.3604534767580274
AC097637.1	3	-2.9425553784112983
AC098850.4	2	-2.4007326633498947
AC100868.1	2	-2.1749566406638294
AC104836.1	3	-2.1648791162407965
AC106782.1	4	-2.0977592040246598
AC124312.1	3	-2.293830571579153
AC135050.2	1	-2.8845129963111633
AC135178.2	3	-2.8155887036105787
AC138811.2	1	-2.8312773281122956
AC233755.1	4	-2.106988507038618
AC245033.1	2	-2.052213737861183
ACP4	2	-2.76265919517799
ACP5	4	-3.4203192621647767
ACPP	3	-6.4672776370053775
ACSBG1	3	-4.962036933720992
ACSL5	3	-6.789427016638846
ACSL6	3	-6.321288313765293
ACTL6B	3	-5.744229726537518
ADA2	3	-5.2425310936337475
ADAM21	4	-2.22494925000651
ADAM33	2	-2.171718435388158
ADAM7	2	-2.108655503196296
ADAMDEC1	3	-3.0486721944529855
ADAMTS14	4	-3.3510809850740384
ADAMTS18	3	-2.4597753553635866
ADAMTS3	1	-2.2799133328537384
ADAMTS8	3	-4.953885680030236
ADAMTSL2	3	-7.08544139215134
ADAMTSL3	3	-3.929464212543784
ADARB2	3	-5.228781716122259
ADAT3	2	-2.6632043509165055
ADCY1	3	-4.537958640432657
ADCY8	3	-3.900656680465774
ADD2	3	-5.150622661884087
ADGRA1	3	-5.133079954993909
ADGRB1	3	-3.7448395287708522
ADGRB3	3	-4.664899701903512
ADGRD1	3	-5.218999193154898
ADGRE2	3	-6.287625215533304
ADGRF2	4	-2.4329703680595745
ADGRF4	4	-2.9362732127732576
ADGRF5	3	-4.603729015752808
