"Description"	"qvalue"
"Olfactory Signaling Pathway"	2.9990575516539e-44
"GPCR ligand binding"	9.18708689101737e-18
"Keratinization"	1.61051947285523e-12
"Class A/1 (Rhodopsin-like receptors)"	9.4685555279388e-12
"G alpha (i) signalling events"	5.02573312204961e-09
"Amine ligand-binding receptors"	4.91068078227558e-08
"Class C/3 (Metabotropic glutamate/pheromone receptors)"	1.66716776593661e-05
"Neuronal System"	0.000193772510050357
"Neurotransmitter release cycle"	0.000372884707170688
"Peptide ligand-binding receptors"	0.000444995963298005
"Inactivation, recovery and regulation of the phototransduction cascade"	0.00100776140324332
"The phototransduction cascade"	0.0013368911620061
"Activation of the phototransduction cascade"	0.00251998619987353
"Transmission across Chemical Synapses"	0.00251998619987353
"Regulation of IFNA signaling"	0.00251998619987353
"Cytochrome P450 - arranged by substrate type"	0.00300519901869818
"Phase I - Functionalization of compounds"	0.00300519901869818
"Dectin-2 family"	0.00312058268500402
"Biological oxidations"	0.00312058268500402
"Complement cascade"	0.00471853664813604
"TRAF6 mediated IRF7 activation"	0.0059022843861419
"Visual phototransduction"	0.0100797878385287
"Cardiac conduction"	0.0100797878385287
"Serotonin Neurotransmitter Release Cycle"	0.0119480069485599
"Regulation of Complement cascade"	0.0125100126935087
"Dopamine Neurotransmitter Release Cycle"	0.0147565739479206
"CYP2E1 reactions"	0.0158454863869695
"Muscle contraction"	0.0191481832096701
"Miscellaneous substrates"	0.0248931443396538
"Serotonin receptors"	0.0248931443396538
"Xenobiotics"	0.0248931443396538
"Potassium Channels"	0.0248931443396538
"Interaction between L1 and Ankyrins"	0.0320646806605151
"Acetylcholine Neurotransmitter Release Cycle"	0.0320646806605151
"Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)"	0.0320646806605151
"Defective GALNT12 causes colorectal cancer 1 (CRCS1)"	0.0320646806605151
"Biosynthesis of DHA-derived SPMs"	0.0320646806605151
"Arachidonic acid metabolism"	0.0322098588946682
"Formation of the cornified envelope"	0.0343383338944238
"Common Pathway of Fibrin Clot Formation"	0.0350561684605633
"Digestion and absorption"	0.0357672249509049
"Voltage gated Potassium channels"	0.0363359762231644
"Transport of bile salts and organic acids, metal ions and amine compounds"	0.0374674963824958
"Norepinephrine Neurotransmitter Release Cycle"	0.0390864891970604
"Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)"	0.0390864891970604
"Ion homeostasis"	0.0442130647641971
"FGFR4 ligand binding and activation"	0.0442130647641971
"Formation of Fibrin Clot (Clotting Cascade)"	0.0445786598674852
