feature	cluster	vt_score
MT-CO1	1	3.732055159691175
MT-CO1	2	-2.3853768224553664
MT-CO1	3	-0.17247182743432038
MT-CO1	4	0.7400899828723001
MT-CO1	5	-2.286595040280092
GFAP	1	-1.7363244781658598
GFAP	2	-1.0538157994367743
GFAP	3	-2.8698066640551674
GFAP	4	2.3751192513645023
GFAP	5	2.8462226141566913
MT-ND4	1	4.282993083474414
MT-ND4	2	-3.5986885145866343
MT-ND4	3	-0.8478266105660336
MT-ND4	4	1.427994159444409
MT-ND4	5	-1.8172753408842104
MT-CO3	1	4.787635903439605
MT-CO3	2	-3.047640484423572
MT-CO3	3	-0.8090057537683141
MT-CO3	4	0.7824703220712874
MT-CO3	5	-2.333169066247984
MT-CO2	1	3.6589524323490337
MT-CO2	2	-3.7127147036427166
MT-CO2	3	0.7822388838352696
MT-CO2	4	1.321757388653639
MT-CO2	5	-2.1475017135606658
MT-ATP6	1	4.12552181416081
MT-ATP6	2	-4.014774613678933
MT-ATP6	3	-0.4502629052303581
MT-ATP6	4	1.4732621251046958
MT-ATP6	5	-1.5643558551750982
EEF1A1	1	-4.788096293864295
EEF1A1	2	1.1045824342942492
EEF1A1	3	2.688614117613157
EEF1A1	4	3.7847501782209756
EEF1A1	5	-1.6159344921182501
MT-ND2	1	4.538421988164562
MT-ND2	2	-4.369013395623282
MT-ND2	3	-0.9930222474863408
MT-ND2	4	1.619238274254628
MT-ND2	5	-1.3887558536527382
MT-CYB	1	3.9847849021614947
MT-CYB	2	-3.777816546896917
MT-CYB	3	-0.5972157462683079
MT-CYB	4	1.5617093936493098
MT-CYB	5	-1.626600795991225
MT-ND5	1	4.897125874796444
MT-ND5	2	-4.288250571999906
MT-ND5	3	-0.45136346580561754
MT-ND5	4	1.168933521367989
MT-ND5	5	-1.837219072647025
MT-ND1	1	5.051183360122407
MT-ND1	2	-4.283882583065599
MT-ND1	3	-1.037036084257575
MT-ND1	4	1.1040592959986661
MT-ND1	5	-1.5016909575806667
MBP	1	1.4885593914460447
MBP	2	-0.5626816336741541
MBP	3	-1.426876698016532
MBP	4	0.2374790567608102
MBP	5	-0.21795454164753877
CLU	1	-2.8546042825025104
CLU	2	1.7311212373857172
CLU	3	-2.907476781515005
CLU	4	-1.594140314338487
CLU	5	5.17673514576019
ACTB	1	-3.448690111545489
ACTB	2	-0.37804317381921604
ACTB	3	5.112129677564651
ACTB	4	-2.190292958159905
ACTB	5	2.469635054006134
SPARC	1	-3.9840280288644543
SPARC	2	2.5002684841684943
SPARC	3	2.247285580461494
SPARC	4	-0.9862537902767613
SPARC	5	1.1088555095648387
ACTG1	1	-5.362396101096613
ACTG1	2	-0.10663485211155901
ACTG1	3	6.442394979683979
ACTG1	4	-0.16744130592919396
ACTG1	5	1.2996077662097525
VIM	1	-3.759102371521356
VIM	2	2.7424230018529
VIM	3	4.561724967081919
VIM	4	-3.2969753231066967
VIM	5	1.1276062430873617
GAPDH	1	-3.1323890986050844
GAPDH	2	0.8062671459870402
GAPDH	3	5.144449729796102
GAPDH	4	-1.847561494284917
GAPDH	5	0.5429543387111
PLP1	1	0.27724542172934163
PLP1	2	-0.047573258012694616
PLP1	3	-1.6843355819540526
PLP1	4	0.5276166124253874
PLP1	5	0.5052790290092191
TUBA1A	1	-3.0588937663326132
TUBA1A	2	-0.07341501837782505
TUBA1A	3	-0.22141036181757032
TUBA1A	4	-1.2124485466673158
TUBA1A	5	4.827366757066319
MT-ND3	1	2.7766100046230107
MT-ND3	2	-3.903832887383111
MT-ND3	3	-1.0317324105250956
MT-ND3	4	2.406654925571701
MT-ND3	5	-0.6624392851943509
EEF2	1	-4.5204506945559295
EEF2	2	-0.18804852208108794
EEF2	3	2.288166960151506
EEF2	4	5.093655873581485
EEF2	5	-1.5741803948063202
MT-ND6	1	2.5729796498794615
MT-ND6	2	-1.2350267505841093
MT-ND6	3	-0.47167723364317066
MT-ND6	4	-0.3837019179443907
MT-ND6	5	-0.8448403816506174
FTH1	1	-1.0021126880761426
FTH1	2	-0.9882114367622028
FTH1	3	-0.07265191459369577
FTH1	4	-1.0604294041422138
FTH1	5	3.2241217781719658
PEA15	1	-1.7106019350213222
PEA15	2	-1.5400198655090673
PEA15	3	-1.6861832724461208
PEA15	4	1.8013114758115725
PEA15	5	2.979833038077663
APOE	1	-0.9807803511450776
APOE	2	0.2606660930139279
APOE	3	-3.5486562310234553
APOE	4	-0.6748669247808932
APOE	5	4.19049427476555
AQP4	1	-1.7551301704173954
AQP4	2	-1.1960643293777593
